city,year,month,season,TMAX_mean,TMAX_max,TMAX_std,TMIN_mean,TMIN_min,TMIN_std,PRCP_sum,SNOW_sum,AWND_mean,TMAX_anomaly_mean,TMIN_anomaly_mean,PRCP_anomaly_sum
San Antonio,2017,11,Fall,25.209999999999997,32.8,4.57205529878767,13.153333333333334,2.2,6.0933957088283535,13.6,0.0,3.2466666666666666,2.9988888888888874,2.144074074074074,-42.666666666666664
San Antonio,2017,12,Winter,17.09032258064516,28.3,6.22555779769758,6.122580645161291,-2.1,5.209459964168991,102.69999999999999,48.0,3.106451612903226,-1.9182795698924722,-1.4799283154121858,51.666666666666664
San Antonio,2018,1,Winter,15.970967741935485,23.3,6.501240576402174,3.2709677419354835,-6.0,5.132198589843479,7.1,0.0,3.274193548387097,-1.9183870967741947,-1.84258064516129,-33.45
San Antonio,2018,2,Winter,19.675,28.9,6.377484991343752,9.685714285714285,-1.0,5.773612662328776,48.8,0.0,3.767857142857143,-0.01755319148936328,2.3030901722391084,16.480851063829782
San Antonio,2018,3,Spring,25.10967741935484,31.7,3.4343708631722416,13.8,7.2,4.016881045454711,102.2,0.0,4.138709677419355,1.1238709677419334,2.1219354838709683,57.610000000000014
San Antonio,2018,4,Spring,26.136666666666667,30.6,3.3585180776885695,13.813333333333333,5.0,4.153165251852544,9.2,0.0,4.41,-1.1066666666666658,-1.437999999999998,-77.41
San Antonio,2018,5,Spring,33.119354838709675,37.2,2.823050283509987,20.72258064516129,13.3,2.614665010719266,24.7,0.0,4.687096774193549,2.329999999999997,1.168064516129032,-114.38
San Antonio,2018,6,Summer,35.986666666666665,38.3,2.418568019380027,24.4,22.8,0.8370720728661394,18.0,0.0,5.4399999999999995,2.0906666666666665,1.107999999999998,-49.99
San Antonio,2018,7,Summer,36.099999999999994,40.6,2.5562994086504545,24.061290322580643,21.7,1.3197670045263896,123.69999999999999,0.0,3.7870967741935484,0.1959731543624184,-0.4115284693656613,86.40637583892617
San Antonio,2018,8,Summer,36.44193548387097,38.3,1.9259238810760195,24.216129032258067,20.6,1.3613955521678365,15.799999999999999,0.0,4.241935483870968,0.28960573476702633,-0.3007168458781339,-31.944444444444446
San Antonio,2018,9,Fall,30.413333333333334,37.2,3.1724822581317795,22.166666666666668,17.8,2.0238804198921905,428.3,0.0,3.1599999999999997,-2.6599999999999966,0.3362962962962956,314.2444444444444
San Antonio,2018,10,Fall,25.212903225806453,31.7,5.797398378323611,16.758064516129032,7.2,5.493497622556347,164.6,0.0,3.825806451612903,-3.6677419354838694,-0.03906810035842074,87.07777777777775
San Antonio,2018,11,Fall,19.15,28.3,5.265093246710045,8.236666666666666,-4.9,5.835059514711902,45.3,0.0,3.296666666666667,-3.061111111111112,-2.7725925925925927,-10.966666666666661
