city,year,month,season,TMAX_mean,TMAX_max,TMAX_std,TMIN_mean,TMIN_min,TMIN_std,PRCP_sum,SNOW_sum,AWND_mean,TMAX_anomaly_mean,TMIN_anomaly_mean,PRCP_anomaly_sum
Philadelphia,2013,9,Fall,25.2,34.4,3.82,14.74,8.3,4.32,83.0,0.0,3.05,-1.62,-2.23,-5.35
Phoenix,2013,9,Fall,37.5,43.9,4.34,25.5,17.2,4.29,21.8,0.0,2.93,-0.55,-0.27,-2.26
San Antonio,2013,9,Fall,34.66,38.3,2.84,22.41,13.9,3.18,94.0,0.0,3.12,1.59,0.58,-20.06
San Diego,2013,9,Fall,25.15,31.1,2.89,18.72,15.0,1.95,0.0,0.0,2.59,-1.19,-1.11,-7.39
Chicago,2013,10,Fall,16.89,26.7,6.15,6.59,-1.6,5.64,79.3,0.0,3.77,-0.54,-1.31,-34.03
Houston,2013,10,Fall,27.49,33.9,3.14,16.18,7.8,4.51,180.0,0.0,2.71,-0.84,-0.18,51.66
Los Angeles,2013,10,Fall,22.85,32.8,4.21,14.62,11.1,1.82,0.5,0.0,2.85,-2.2,-1.72,-3.52
New York,2013,10,Fall,19.38,30.0,4.78,11.94,4.4,4.22,9.2,0.0,2.25,0.51,0.3,-96.27
Philadelphia,2013,10,Fall,20.58,30.0,5.31,11.2,2.8,4.89,62.4,0.0,3.56,-0.25,-0.62,-26.98
Phoenix,2013,10,Fall,30.62,36.1,3.77,16.64,11.7,2.44,0.0,0.0,2.64,-1.45,-1.97,-19.6
San Antonio,2013,10,Fall,28.82,33.9,3.73,17.24,7.8,5.42,71.3,0.0,3.48,-0.06,0.44,-6.22
San Diego,2013,10,Fall,22.51,31.1,3.26,15.25,12.8,1.71,6.4,0.0,2.29,-2.54,-1.63,-0.07
Chicago,2013,11,Fall,7.38,20.6,5.88,-1.26,-11.6,5.74,53.2,23.0,5.09,-2.51,-2.3,4.92
Houston,2013,11,Fall,20.14,29.4,6.47,8.86,-0.5,5.57,96.8,0.0,3.74,-1.92,-1.72,20.36
Los Angeles,2013,11,Fall,22.44,32.2,4.12,13.21,10.0,1.69,17.5,0.0,2.47,0.13,0.79,1.42
New York,2013,11,Fall,11.18,21.1,5.69,3.59,-4.9,5.25,80.2,0.0,2.79,-1.5,-1.8,-11.72
